団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,94.7,73.8,72,95.2,65.1,55.9,58.1,60
020001,青森県,,,36.2,39.3,42.5,45.6,48.7,40.7,43.8
030007,岩手県,,89,89.4,89.8,90.2,90.6,90.9,49.8,20.6
040002,宮城県,,43.3,45.4,47.5,49.8,51.9,54.1,56.2,58.4
050008,秋田県,,32.5,31.8,34.2,36.2,38.2,40.3,42.2,43.9
060003,山形県,,,,,,,,,
070009,福島県,41.6,43.4,45.1,46.8,48.5,50.2,51.9,53.7,55.4
080004,茨城県,,,,,,,,,
090000,栃木県,,55.2,53.9,51.1,38.4,18.5,21.8,25.2,28.5
100005,群馬県,,,,36.6,38.4,38.7,42,43.7,45.5
110001,埼玉県,,42.8,43.5,43.7,45.9,44.6,46.8,47.3,48.6
120006,千葉県,,60,61.8,62.7,64.6,64,53,55.1,55.4
130001,東京都,33.5,33.6,43.1,49.3,40.4,43.5,47.3,50,53.2
140007,神奈川県,,,61.3,63.8,66.4,52.3,55,57.6,60.3
150002,新潟県,,,14.9,16.6,17.4,18.3,19.3,19.1,19.4
160008,富山県,,71,73.3,75.5,77.7,79.9,82.1,84.2,86.3
170003,石川県,,87.9,82.2,83.9,85.3,86.8,88.3,89.7,91.1
180009,福井県,,46.4,48.9,51,53,55.1,51.8,41.8,45.2
190004,山梨県,61,62.4,61,64.1,67.2,66.9,67,64.4,64.3
200000,長野県,,34.3,26.4,30,33.5,44.8,23.3,27.2,26.7
210005,岐阜県,38.3,40.2,38.8,28.5,27.9,30.9,34.7,38.5,40.4
220001,静岡県,,44.7,47,49.2,51.4,53.5,55.8,56.3,59.8
230006,愛知県,66.1,64,62.1,63.6,65.5,61.9,62.9,65.2,66.6
240001,三重県,,68.2,64.1,68,71.9,75.8,,,
250007,滋賀県,67.3,70,71.7,74.4,77.1,79.8,82.5,22.7,
260002,京都府,,,,,34.6,39.1,43.6,48.1,52.7
270008,大阪府,,,,,,,,,
280003,兵庫県,,27.6,28.3,30,31.7,33.4,35.1,36.8,38.5
290009,奈良県,,,,,,97.9,97.7,97.2,97.2
300004,和歌山県,,64.2,67.6,71.9,74.6,77.2,79.9,82.6,85.3
310000,鳥取県,,79.2,75.3,76.9,77.4,80.1,79.8,81.1,82.4
320005,島根県,,,,,,,,,
330001,岡山県,,49.4,51.7,54,56.1,58.2,60.3,62.3,63.9
340006,広島県,,,,,,,,,
350001,山口県,,20.4,22.6,24.8,27,29.2,31.4,33.6,35.8
360007,徳島県,,,,,,,,,
370002,香川県,,47.9,49.2,50.7,52.1,54.1,55.6,57.5,59.6
380008,愛媛県,,21.8,30.8,39.8,48.8,57.8,66.7,75.7,84.7
390003,高知県,53.1,68.6,70.7,72.7,74.7,76,77.5,79.1,80.7
400009,福岡県,,67.6,68.5,69.8,65.4,66.2,69,71.8,73.4
410004,佐賀県,,50.6,50.6,41.5,30.5,28.8,26,21.7,22.4
420000,長崎県,20.1,23.5,26.9,30.2,33.5,36.9,40.2,43.6,46.9
430005,熊本県,,,,73,72.1,75.4,68.5,58.9,59.5
440001,大分県,,35.9,37.4,39.3,39.8,41.4,42.5,44.1,46.1
450006,宮崎県,,52.3,55.3,58.3,61,64,63,65.6,72.2
460001,鹿児島県,,62.3,45.9,39.6,41.1,41.6,45.2,47.9,51.4
470007,沖縄県,,58.3,60.5,55.7,58.2,60.6,63.1,65.5,61.1
